id;url;exclamation_count;words_to_avoid_count;smart_words_count;h1_count;h2_count;div_count;iframe_count;a_count;img_count;span_count;button_count;input_count;form_count;script_count;meta_count;link_count;style_count;text_longer_than_50_characters_count;text_longer_than_100_characters_count;text_longer_than_150_characters_count;text_longer_than_200_characters_count;http_references;https_references;total_code_length;p_count;ylt_DOMelementsCount;ylt_DOMelementMaxDepth;ylt_scriptDuration;ylt_jsErrors;ylt_cssColors;ylt_cssDuplicatedProperties;ylt_totalWeight;ylt_domains;ylt_compression;ylt_totalRequests;ylt_heavyFonts;ylt_global_score;ylt_badJavascript_score;ylt_jQuery_score;ylt_serverConfig_score;binary_rating;categorical_rating
120;https://people.com/tv/katie-couric-on-being-shocked-by-matt-lauer-behavior-seemed-so-callous/;18;9;4;1;17;611;6;315;104;338;50;13;2;68;37;40;5;9449;5952;3665;2028;7;283;540566;40;2389;0;2962;2;173;139;50511531;109;298401;286;0;-201;-59;100;-62;1;3
121;https://people.com/parents/me-becoming-mom-podcast-how-to-listen/;14;4;0;1;17;496;4;285;78;313;45;11;2;64;36;40;4;6205;4227;1784;1189;6;257;449851;23;1953;0;1894;2;135;134;3307453;70;254107;227;0;40;53;100;30;1;3
122;https://people.com/tech/apple-airpods-pro-early-holiday-2021-sale-amazon/;6;5;4;1;17;523;3;312;97;330;47;11;2;65;35;39;3;6253;4135;2056;1557;6;282;507749;21;1979;1;1709;2;133;134;2381739;87;231805;201;0;42;84;100;-25;1;3
123;https://people.com/sports/amazon-sports-fanshop-merchandise/;9;3;1;1;18;642;3;362;108;353;54;11;2;62;35;39;3;6826;4531;2573;1235;6;322;536244;26;2433;1;2399;3;137;134;2806592;93;240165;242;0;26;44;100;-31;1;3
124;https://people.com/parents/katharine-mcphee-takes-village-to-raise-baby-exclusive/;12;25;0;1;17;550;3;303;95;328;47;11;2;64;36;40;4;7109;4593;2476;1372;6;272;472892;28;2199;1;2247;2;138;134;3484139;100;245747;259;0;10;-27;100;-46;1;3
125;https://people.com/lifestyle/best-weekend-sales-8-october-2021/;12;10;3;1;23;770;3;363;129;362;43;11;2;63;35;39;3;7021;4057;1505;446;6;327;527965;31;2434;0;2008;2;135;134;2523574;59;232204;174;0;36;-2;100;41;1;3
126;https://people.com/lifestyle/amazon-kn95-face-mask-deals-october-2021/;8;8;0;1;16;528;4;319;97;330;47;11;2;63;35;39;3;6968;4441;1971;1239;6;289;487103;23;2067;0;2117;2;135;134;2544282;61;232458;176;0;38;-2;100;43;1;3
127;https://people.com/lifestyle/philips-sonicare-electric-toothbrush-deal-amazon-october-2021/;10;10;1;1;16;523;3;306;95;328;46;11;2;65;35;39;3;5736;3538;2022;1829;6;276;504231;25;2070;1;2066;2;135;134;2603368;91;236147;224;0;25;-3;100;-20;1;3
128;https://people.com/lifestyle/evolvetogether-kn95-face-masks-restock/;6;5;1;1;16;527;3;312;96;331;48;11;2;62;35;39;3;6387;4205;2037;1244;6;282;479001;22;2053;0;1907;2;135;134;2600379;58;231998;174;0;37;-10;100;42;1;3
129;https://people.com/home/luxclub-bamboo-sheets-deal-early-holiday-sale-2021-amazon/;8;7;2;1;16;504;3;298;93;326;45;11;2;63;35;39;3;7153;4833;3048;1838;6;268;464763;19;1942;0;1669;2;135;134;2495123;58;231432;166;0;50;53;100;43;1;3
