"id","url","h1_count","h2_count","div_count","iframe_count","a_count","img_count","span_count","button_count","input_count","form_count","script_count","meta_count","link_count","style_count","text_longer_than_100_characters_count","http_references","https_references","total_code_length","p_count"
"1","https://edition.cnn.com/2021/09/06/asia/taliban-afghanistan-pregnant-policewoman-murder-intl/index.html","1","0","427","4","273","5","89","47","39","2","66","44","61","16","24","1","43","1410921","29"
"2","https://edition.cnn.com/2021/09/06/americas/columbus-statue-indigenous-woman-mexico-city-cec/index.html","1","0","427","4","277","7","89","47","39","2","67","44","61","16","17","1","47","1412032","29"
"3","https://edition.cnn.com/2021/09/06/entertainment/stanley-tucci-cancer/index.html","1","1","441","4","269","6","90","48","39","2","74","44","63","16","14","2","45","1698246","30"
"4","https://edition.cnn.com/2021/09/06/world/perseverance-rover-mars-sample-helicopter-scn/index.html","1","1","477","4","278","14","91","48","39","2","77","44","63","15","28","1","44","1580112","30"
"5","https://edition.cnn.com/2021/09/06/asia/tse-chi-lop-sunblock-intl-hnk-dst/index.html","1","0","445","4","292","12","87","47","39","2","64","44","62","15","94","1","61","1442408","28"
"6","https://www.foxnews.com/media/the-legacy-of-9-11-how-the-attacks-changed-us-forever","1","1","128","4","284","5","9","0","3","1","55","49","34","8","7","4","268","106652","27"
"7","https://www.foxnews.com/live-news/afghanistan-kabul-taliban-crisis","2","16","210","3","295","9","20","0","4","2","70","57","28","2","58","0","62","140410","104"
"8","https://www.foxnews.com/sports/bucs-cowboys-week-1-nfl-2021","1","1","209","3","288","17","47","2","2","1","56","49","35","7","6","2","277","110771","26"
"9","https://www.foxnews.com/media/washington-post-reporter-postal-service-exemption-biden-vaccine-mandate","1","1","109","6","275","3","9","0","3","1","57","49","34","8","7","2","261","94418","15"
"10","https://www.foxnews.com/entertainment/steve-buscemi-911-post-traumatic-stress-disorder","1","1","143","3","292","9","16","0","2","1","55","49","34","8","10","3","269","99520","16"
"11","https://www.foxnews.com/politics/rnc-announces-intention-to-sue-biden-admin-over-vaccine-mandates","1","1","139","4","281","8","13","0","3","1","54","49","34","8","9","2","259","98349","19"
"12","https://www.foxnews.com/politics/biden-xi-china-guardrails","1","5","179","3","281","10","15","0","3","1","55","49","34","8","34","2","259","119790","44"
"13","https://www.foxnews.com/sports/bucs-cowboys-black-national-anthem","1","1","187","3","279","13","43","2","2","1","57","49","35","7","6","2","268","97549","15"
"14","https://www.foxnews.com/politics/pelosi-200-million-san-francisco-presidio-park-congress","1","1","161","7","286","9","15","0","3","1","57","49","34","8","16","2","264","113570","30"
"15","https://www.foxnews.com/politics/biden-plan-for-forced-vaccinations-doesnt-include-illegal-immigrants","1","1","137","3","281","7","13","0","3","1","55","49","34","8","7","2","259","97673","17"
"16","https://www.foxnews.com/politics/klain-vaccine-coronvirus-mandate","1","2","151","6","283","9","14","0","3","1","57","49","34","8","10","3","260","106190","22"
"17","https://www.bbc.com/news/av/technology-58488235","1","3","269","1","109","31","232","4","0","0","47","22","4","3","1","1","55","270758","25"
"18","https://www.bbc.com/news/av/world-asia-india-58498881","1","3","233","1","103","25","198","4","0","0","47","22","4","3","3","0","54","243669","23"
"19","https://www.bbc.com/news/world-asia-58495112","1","8","357","0","118","21","185","5","0","0","55","30","5","3","27","0","69","257025","77"
"20","https://www.bbc.com/news/world-asia-58502199","1","13","345","0","117","17","182","5","0","0","55","30","5","3","30","0","71","245940","66"
"21","https://www.bbc.com/news/world-asia-58477131","1","6","250","0","83","20","94","5","0","0","50","30","5","3","60","0","61","247918","80"
"22","https://www.bbc.com/news/av/world-us-canada-58509703","1","3","245","1","110","27","215","4","0","0","47","22","4","3","1","0","54","253378","21"
"23","https://www.bbc.com/news/uk-58507436","1","9","322","1","126","24","175","6","0","0","58","30","5","3","22","0","71","231293","57"
"24","https://www.bbc.com/news/world-asia-china-58511173","1","9","321","1","114","24","170","5","0","0","58","30","5","3","22","0","66","229033","59"
"25","https://www.bbc.com/news/science-environment-58507100","1","8","314","0","113","21","180","5","0","0","55","30","5","3","17","0","69","242000","62"
"26","https://www.bbc.com/news/world-europe-58510192","1","8","265","0","111","24","168","5","0","0","55","30","5","3","8","0","63","206068","41"
"27","https://www.bbc.com/sport/tennis/58511033","5","69","1659","11","250","27","642","197","93","2","170","24","21","52","69","2","89","2071849","90"
"28","https://www.zerohedge.com/markets/biden-exempts-over-600000-usps-workers-federal-mandatory-vaccination-order","5","236","1127","14","471","12","1050","149","346","2","51","34","40","1","11","27","26","485998","47"
"29","https://stackoverflow.com/questions/10195139/how-to-retrieve-sql-result-column-value-using-column-name-in-python","2","3","908","3","436","23","542","53","25","2","22","27","11","2","19","3","259","324695","30"
"30","https://www.intouchweekly.com/posts/kylie-jenner-reacts-to-swimwear-lines-disastrous-reception/","1","62","387","5","211","68","137","56","28","3","48","30","27","19","20","3","223","545527","39"
"31","https://www.intouchweekly.com/posts/will-jacob-roloff-and-isabel-rock-buy-roloff-farms-she-reacts/","1","32","349","5","159","41","177","56","28","3","48","30","27","19","25","3","171","435989","41"
"32","https://www.intouchweekly.com/posts/justin-duggar-and-wife-claire-spivey-buy-texas-home-amid-drama/","1","62","382","5","230","69","138","56","28","3","48","30","27","19","19","3","242","538259","44"
"33","https://www.intouchweekly.com/posts/megan-foxs-dating-history-brian-austin-green-machine-gun-kelly/","1","36","388","5","167","42","194","56","28","3","49","30","26","19","26","3","178","455180","56"
"34","https://www.intouchweekly.com/posts/who-is-mickey-guytons-husband-what-to-know-about-grant-savoy/","1","67","388","5","206","68","139","56","28","3","49","30","28","19","21","3","219","547020","36"
"35","https://www.intouchweekly.com/posts/brittany-murphy-parents-learn-about-sharon-murphy-angelo-bertolotti/","1","36","343","5","146","39","164","56","28","3","46","30","26","19","23","3","158","395886","40"
"36","https://www.intouchweekly.com/posts/90-day-fiance-where-is-fernanda-from-mexico-roots/","1","62","380","5","211","67","137","56","28","3","51","30","28","19","20","3","223","568537","37"
"37","https://www.intouchweekly.com/posts/braless-photos-of-the-kardashian-jenner-women-kim-kylie-more/","1","48","481","5","196","53","254","56","28","3","49","30","26","19","23","3","207","496395","87"
"38","https://www.intouchweekly.com/posts/must-haves/3-eco-friendly-essentials-that-will-change-your-routine/","1","65","379","4","198","68","136","56","28","3","45","30","26","19","19","7","206","491299","35"
"39","https://www.intouchweekly.com/posts/gabby-petitos-mom-slams-brians-lawyers-strangulation-comment/","1","62","402","5","213","69","165","56","28","3","49","30","28","19","23","3","226","541296","40"
"40","https://www.intouchweekly.com/posts/wendy-williams-brother-tommy-gives-update-on-her-health/","1","32","349","5","148","40","159","56","28","3","48","30","27","19","23","3","160","431890","39"
"41","https://people.com/celebrity/star-tracks-wednesday-october-13-2021/","1","224","4013","7","1009","488","3023","356","11","2","73","36","34","5","141","6","875","2305821","215"
"42","https://people.com/tv/howie-mandel-home-doing-better-after-fainting/","2","17","637","16","306","88","343","48","13","2","76","37","36","5","29","6","277","1029668","41"
"43","https://people.com/food/rachael-ray-says-shes-grateful-for-being-alive-after-house-fire-and-apartment-flood/","2","17","666","14","317","90","342","49","13","2","74","37","36","5","41","6","288","1101539","50"
"44","https://people.com/tv/netflix-you-renewed-season-four/","2","17","625","11","311","87","346","50","11","2","73","36","36","4","20","7","281","656886","39"
"45","https://people.com/crime/larry-miller-chairman-of-jordan-brand-opens-up-about-killing-a-man-as-a-teenager/","2","16","619","13","296","82","338","47","11","2","72","36","38","4","44","7","268","1075532","50"
"46","https://people.com/tv/emma-kenney-claims-shameless-set-became-a-more-positive-place-after-emmy-rossum-exit/","2","17","720","9","317","103","352","50","17","2","73","39","34","5","22","7","285","556328","48"
"47","https://people.com/parents/matt-damon-says-he-knew-every-word-at-harry-styles-concert-with-daughters/","2","17","653","16","308","93","345","49","16","2","74","38","36","5","36","6","278","537649","38"
"48","https://people.com/home/the-dark-history-behind-brittany-murphys-home-plus-what-happened-to-it-after-she-died-there/","1","17","628","7","296","106","328","52","15","2","73","38","34","5","36","6","267","541800","37"
"49","https://people.com/tv/rhobh-reunion-erika-girardi-says-show-is-her-main-source-of-income/","2","17","698","11","320","97","351","50","15","2","74","38","36","5","28","7","290","635918","48"
"50","https://people.com/tv/howie-mandel-rushed-to-hospital-after-fainting-report/","2","17","608","5","307","83","342","48","11","2","74","36","36","5","23","6","278","526877","42"
"51","https://people.com/country/clint-black-lisa-hartman-black-celebrate-30-year-wedding-anniversary/","1","17","578","10","298","97","325","47","11","2","68","36","34","4","46","6","266","476128","41"
